CRE 0,NIST AI 600-1|name,NIST AI 600-1|id,NIST AI 600-1|description,NIST AI 600-1|hyperlink
061-753|AI model behaviour integrity threats,Information Integrity,GAI-INFOINTEG,"[Informaton integrity](https://www.whitehouse.gov/wp-content/uploads/2022/12/Roadmap-Information-Integrity-RD-2022.pdf?_hsenc=p2ANqtz-_x-sgb3MM0fsqqLg3Vz4Vten0hlnHejas4CchT-Z59EnsVTC5XWcZHb2T4TR9Tz2TDQTP8lpdwR8PiDSI4GNApCIykTA) describes the “spectrum of information and associated patterns of its creation, exchange, and consumption in society.” High-integrity information can be trusted; “distinguishes fact from fiction, opinion, and inference; acknowledges uncertainties; and is transparent about its level of vetting. This information can be linked to the original source(s) with appropriate evidence. High-integrity information is also accurate and reliable, can be verified and authenticated, has a clear chain of custody, and creates reasonable expectations about when its validity may expire.” [11] 11 This definition of information integrity is derived from the 2022 White House Roadmap for Researchers on Priorities Related to Information Integrity Research and Development. 9 GAI systems can ease the unintentional production or dissemination of false, inaccurate, or misleading content (misinformation) at scale, particularly if the content stems from confabulations. GAI systems can also ease the deliberate production or dissemination of [false or misleading informaton](https://rm.coe.int/information-disorder-toward-an-interdisciplinary-framework-for-researc/168076277c) (disinformation) at scale, where an actor has the explicit intent to deceive or cause harm to others. Even very [subtle changes](https://deepmind.google/discover/blog/images-altered-to-trick-machine-vision-can-influence-humans-too/) to text or images can manipulate human and machine perception. Similarly, GAI systems could enable a [higher degree of sophistcaton](https://www.rand.org/pubs/commentary/2023/10/dismantling-the-disinformation-business-of-chinese.html) for malicious actors to produce disinformation that is targeted towards specific demographics. Current and emerging multimodal models [m",https://airc.nist.gov/Docs/1
073-507|AI model behaviour integrity threats through inference,Confabulation,GAI-CONFAB,"“Confabulation” refers to a phenomenon in which GAI systems generate and confidently present erroneous or false content in response to prompts. Confabulations also include generated outputs that diverge from the prompts or other input or that contradict previously generated statements in the same context. These phenomena are colloquially also referred to as “hallucinations” or “fabrications.” Confabulations can occur across GAI outputs and contexts. [9,10] Confabulations are a natural result of the way generative models are [designed: they generate outputs that approximate the statistical distribution](https://arxiv.org/pdf/2311.14648) of their training data; for example, LLMs [predict the next token or word](https://cset.georgetown.edu/article/the-surprising-power-of-next-word-prediction-large-language-models-explained-part-1/) in a sentence or phrase. While such statistical prediction can produce factually accurate and consistent outputs, it can also produce outputs that are factually inaccurate or internally inconsistent. This dynamic is particularly relevant when it comes to open-ended prompts for [long-form responses and in](https://arxiv.org/pdf/2403.18802) [domains](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4696936) which require highly contextual and/or domain expertise. Risks from confabulations may arise when users believe false content – often due to the confident nature of the response – leading users to act upon or promote the false information. This poses a challenge for many real-world applications, such as in healthcare, where a confabulated summary of patient information reports could cause doctors to make [incorrect diagnoses and/or recommend the wrong](https://dl.acm.org/doi/full/10.1145/3571730) treatments. Risks of confabulated content may be especially important to monitor when integrating GAI into applications involving consequential decision making. GAI outputs may also include confabulated logic or citations that purport to just",https://airc.nist.gov/Docs/1
202-604|Human AI oversight,Human-AI Configuration,GAI-HUMANAI,"GAI system use can involve varying risks of misconfigurations and poor interactions between a system and a human who is interacting with it. Humans bring their unique perspectives, experiences, or domainspecific expertise to interactions with AI systems but may not have detailed knowledge of AI systems and [how they work. As a result, human experts may be unnecessarily “averse” to GAI systems, and thus](https://marketing.wharton.upenn.edu/wp-content/uploads/2016/10/Dietvorst-Simmons-Massey-2014.pdf) deprive themselves or others of GAI’s beneficial uses. Conversely, due to the complexity and increasing reliability of GAI technology, over time, humans may [over-rely on GAI systems or may unjustifiably perceive](https://doi.org/10.1017/jdm.2023.37) GAI content to be of higher quality than that produced by other sources. This phenomenon is an example of [automaton bias, or excessive deference](https://academic.oup.com/jcmc/article/28/1/zmac029/6827859) to automated systems. Automation bias can exacerbate other risks of GAI, such as risks of confabulation or risks of bias or homogenization. There may also be concerns about [emotonal entanglement](https://www.researchgate.net/publication/374505266_Ethical_Tensions_in_Human-AI_Companionship_A_Dialectical_Inquiry_into_Replika) between humans and GAI systems, which could lead to negative psychological impacts. **Trustworthy AI Characteristics:** Accountable and Transparent, Explainable and Interpretable, Fair with Harmful Bias Managed, Privacy Enhanced, Safe, Valid and Reliable",https://airc.nist.gov/Docs/1
436-325|AI impact reduction controls,"Dangerous, Violent, or Hateful Content",GAI-DANGEROUS,"GAI systems can produce content that is inciting, radicalizing, or threatening, or that glorifies violence, with greater ease and scale than other technologies. LLMs have been [reported to generate](https://arxiv.org/pdf/2112.04359.pdf) dangerous or violent recommendations, and some models have generated actionable instructions for dangerous or 9 Confabulations of falsehoods are most commonly a problem for text-based outputs; for audio, image, or video content, creative generation of non-factual content can be a desired behavior. 10 For example, legal confabulations have been [shown to be pervasive](https://arxiv.org/abs/2401.01301) in current state-of-the-art LLMs. See also, e.g., 6 unethical behavior. Text-to-image models also make it easy to [create images](https://arxiv.org/pdf/2305.13873.pdf) that could be used to promote dangerous or violent messages. Similar concerns are present for other GAI media, including video and audio. GAI may also produce content that recommends self-harm or criminal/illegal activities. Many current systems [restrict model outputs](https://arxiv.org/pdf/2303.08774.pdf) to limit certain content or in response to certain prompts, but this approach may [stll produce harmful recommendatons](https://arxiv.org/pdf/2308.13387.pdf) in response to other less-explicit, novel prompts (also relevant to CBRN Information or Capabilities, Data Privacy, Information Security, and Obscene, Degrading and/or Abusive Content). Crafting such prompts deliberately is known as [“jailbreaking,” or, manipulating prompts to circumvent output controls. Limitations of GAI systems can be](https://arxiv.org/html/2403.17336v1) harmful or dangerous in certain contexts. Studies have observed that users may [disclose mental health](https://www.hbs.edu/ris/Publication%20Files/23-011_c1bdd417-f717-47b6-bccb-5438c6e65c1a_f6fd9798-3c2d-4932-b222-056231fe69d7.pdf) [issues in conversations with chatbots – and that users exhibit negative reactions to unhelpful responses",https://airc.nist.gov/Docs/1
436-325|AI impact reduction controls,"Obscene, Degrading, and/or Abusive Content",GAI-OBSCENE,"GAI can ease the production of and access to illegal non-consensual intimate imagery (NCII) of adults, and/or child sexual abuse material (CSAM). GAI-generated obscene, abusive or degrading content can create privacy, psychological and emotional, and even physical harms, and in some cases may be illegal. Generated explicit or obscene AI content may include highly realistic “deepfakes” of [real individuals,](https://incidentdatabase.ai/blog/deepfakes-and-child-safety/) including children. The spread of this kind of material can have downstream negative consequences: in the context of CSAM, even if the generated images do not resemble specific individuals, the prevalence of such images can divert time and resources from efforts to find real-world victims. Outside of CSAM, the creation and spread of NCII disproportionately impacts [women and](https://www.brookings.edu/articles/ai-poses-disproportionate-risks-to-women/) [sexual minorites, and can have](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9554400/) [subsequent](https://journals.sagepub.com/doi/full/10.1177/08862605221122834#bibr47-08862605221122834) negative consequences including decline in overall mental health, substance abuse, and even suicidal thoughts. Data used for training GAI models may unintentionally include CSAM and NCII. A [recent report](https://cyber.fsi.stanford.edu/news/investigation-finds-ai-image-generation-models-trained-child-abuse) noted that several commonly used GAI training datasets were found to contain hundreds of known images of 11 CSAM. Even when trained on “clean” data, increasingly capable GAI models can synthesize or produce synthetic NCII and CSAM. Websites, mobile apps, and custom-built models that generate synthetic NCII have [moved from niche internet forums to mainstream, automated, and scaled online businesses.](https://graphika.com/reports/a-revealing-picture) **Trustworthy AI Characteristics:** Fair with Harmful Bias Managed, Safe, Privacy Enhanced",https://airc.nist.gov/Docs/1
447-083|Privacy-preserving personal data logic,Data Privacy,GAI-PRIVACY,"GAI systems [raise several risks to privacy. GAI system training requires large volumes of data, which in](https://arxiv.org/pdf/2310.07879) some cases may include personal data. The use of personal data for GAI training raises risks to [widely](https://www.whitehouse.gov/wp-content/uploads/legacy_drupal_files/omb/circulars/A130/a130revised.pdf) [accepted privacy principles, including to transparency, individual participation (including consent), and](https://www.whitehouse.gov/wp-content/uploads/legacy_drupal_files/omb/circulars/A130/a130revised.pdf) purpose specification. For example, most model developers do not disclose specific data sources on which models were trained, limiting user awareness of whether personally identifiably information (PII) was trained on and, if so, how it was collected. Models may leak, generate, or correctly infer sensitive information about individuals. For example, during adversarial attacks, LLMs have revealed [sensitve informaton](https://www.usenix.org/conference/usenixsecurity21/presentation/carlini-extracting) (from the public domain) that was included in their training data. This problem has been referred to as [data memorizaton, and may pose](https://arxiv.org/pdf/2202.07646) exacerbated privacy risks even for data present only in a [small number of training samples.](https://www.usenix.org/system/files/sec21-carlini-extracting.pdf) In addition to revealing sensitive information in GAI training data, GAI models may be able to [correctly](https://arxiv.org/pdf/2310.07298) [infer PII or sensitive data that was not in their training data nor disclosed by the user by stitching](https://arxiv.org/pdf/2310.07298) together information from disparate sources. These inferences can have negative impact on an individual even if the inferences are not accurate (e.g., confabulations), and especially if they reveal information that the individual considers sensitive or that is used to [disadvantage or harm them.](https://dl.acm.org/doi/pdf",https://airc.nist.gov/Docs/1
881-234|AI supply chain management,Value Chain and Component Integration,GAI-VALUECHAIN,"GAI value chains involve many [third-party components](https://partnershiponai.org/from-code-to-consumer-pais-value-chain-analysis-illuminates-generative-ais-key-players/) such as procured datasets, pre-trained models, and software libraries. These components might be improperly obtained or not properly vetted, leading to diminished transparency or accountability for downstream users. While this is a risk for traditional AI systems and some other digital technologies, the risk is exacerbated for GAI due to the scale of the training data, which may be too large for humans to vet; the difficulty of training foundation models, which leads to extensive reuse of limited numbers of models; and the extent to which GAI may be integrated into other devices and services. As GAI systems often involve many distinct third-party components and data sources, it may be difficult to attribute issues in a system’s behavior to any one of these sources. Errors in third-party GAI components can also have downstream impacts on accuracy and robustness. For example, test datasets commonly used to benchmark or validate models can contain [label errors.](https://arxiv.org/pdf/2103.14749.pdf) Inaccuracies in these labels can impact the “stability” or robustness of these benchmarks, which many GAI practitioners consider during the model selection process. **Trustworthy AI Characteristics:** Accountable and Transparent, Explainable and Interpretable, Fair with Harmful Bias Managed, Privacy Enhanced, Safe, Secure and Resilient, Valid and Reliable **3.** **Suggested Actions to Manage GAI Risks** The following suggested actions target risks unique to or exacerbated by GAI. In addition to the suggested actions below, AI risk management activities and actions set forth in the AI RMF 1.0 and Playbook are already applicable for managing GAI risks. Organizations are encouraged to apply the activities suggested in the AI RMF and its Playbook when managing the risk of GAI systems. Implementation",https://airc.nist.gov/Docs/1
